Item,Short,df,LR chi2 (naive),p LR (naive),Wald chi2 (robust),p Wald (robust),Linearity LR (naive),p linearity LR (naive),Linearity Wald (robust),p linearity (robust),q Holm robust,q Holm linearity,p LR (patterns),q Holm LR (patterns)
Age,Age,4,11.155469023891783,0.024871216077658662,2.754979252443431,0.5996288046641147,1.5874162090212849,0.6622464640318486,0.35869740733010025,0.9486360415263528,1.0,1.0,0.10995035268275945,0.7506011586985321
Feeling sad or Tearful,Sad/tearful,2,28.967349106614165,5.126489401091288e-07,6.129870606209252,0.04665686032083887,18.316507833344076,1.8707903069310798e-05,3.829980616226808,0.05034351496728593,0.2799411619250332,0.25171757483642965,0.2538101038698699,0.8213073873835431
Irritable towards baby & partner,Irritable,2,66.73994473633797,3.2181415248678808e-15,15.596563757430753,0.0004104395584714144,2.2090748861396605,0.13720092553128402,0.4058062471695258,0.5241058004702621,0.0032835164677713154,1.0,0.003421197793805849,0.03079078014425264
Trouble sleeping at night,Sleep trouble,2,19.971455500751745,4.605253488681597e-05,4.628169367387667,0.09885662768682173,8.643986069514767,0.0032814270476557513,1.7951723932654189,0.1802972264266213,0.49428313843410865,0.7211889057064852,0.20532684684588579,0.8213073873835431
Problems concentrating or making decision,Concentration,2,105.72743175952337,1.1004742894475809e-23,17.218057839399275,0.00018245099898621365,95.5963584364822,1.4086529205446968e-22,15.399554940331411,8.700878436090541e-05,0.0016420589908759228,0.0006090614905263379,0.12483770239147889,0.7506011586985321
Overeating or loss of appetite,Appetite,1,0.09716949510811901,0.7552531603223123,0.02161444886247651,0.8831173925452701,,,,,1.0,,0.35633399296041024,0.8213073873835431
Feeling anxious,Anxious,1,0.008821269883583227,0.9251714229413135,0.0018477376223458575,0.9657132370296798,,,,,1.0,,0.8921297809400835,0.8921297809400835
Feeling of guilt,Guilt,2,67.27871674928929,2.458172088446172e-15,13.618340945663745,0.0011036079931711863,67.27535976042986,2.361140135830931e-16,13.606089292408088,0.00022545304647148372,0.007725255952198304,0.0013527182788289024,0.01683620344107636,0.13468962752861088
Problems of bonding with baby,Bonding,2,6.9335612840084195,0.031217368948297408,1.4166123417260386,0.49247766440367613,4.360781841287462,0.036775423457689804,0.8489431191407364,0.35685149624137025,1.0,1.0,0.10722873695693315,0.7506011586985321
