Model,Accuracy,Accuracy (SD),Precision,Precision (SD),Recall,Recall (SD),F1,F1 (SD),ROC-AUC,ROC-AUC (SD),Specificity,Specificity (SD),MCC,MCC (SD),TN,FP,FN,TP
Random Forest,0.9863064451047284,0.010220204439900875,0.9787219593252177,0.01990484661060008,0.9869565217391305,0.011907012119677518,0.982736623343834,0.012835996504453596,0.9975527463268665,0.0019179137711291888,0.9858855259214863,0.013195027475463627,0.9715300036248096,0.021300878783666665,699,10,6,453
SVM (RBF),0.9914346502329335,0.009097929220953248,0.98723259762309,0.01748413442205969,0.9913043478260869,0.011907012119677518,0.9891882362470599,0.011446813850794536,0.997381413054336,0.0030676551228366097,0.9915193287383879,0.011612758211847155,0.9822059772542113,0.01894113687890968,703,6,4,455
ANN (MLP),0.9615054473423573,0.027363878370723547,0.9468980210478151,0.042148842976914735,0.9565217391304348,0.027712062573873833,0.9515774371368056,0.034031798838759696,0.9862765631718154,0.012398197861706553,0.9647387873339326,0.028605987037093765,0.9198131746840084,0.05670671328034299,684,25,20,439
Logistic Regression,0.7542790066395216,0.007824861900941713,0.6806302649067468,0.031232418326564607,0.7165790731008121,0.07453575982641905,0.6951162581323309,0.020146261503272932,0.8406845166208237,0.018224751066824068,0.7785336130256717,0.055058130706948635,0.49377438812954955,0.016790627057330518,552,157,130,329
