Item,Short,K,Chi2 (rows),df,p (naive rows),Chi2 Rao-Scott,p Rao-Scott,Chi2 (patterns),p (patterns),Fisher p (patterns),V_bc,V_lo,V_hi,V_bc (patterns),MI (bits),U(target|item),p perm (cluster),IV,IV (patterns),q Holm (Rao-Scott),q BH (patterns),q Holm (perm)
Age,Age,5,15.677720388818335,4,0.0034835539254757697,1.467273831261203,0.8324222537194461,5.185015962848154,0.2688350133641759,,0.10001842747455082,0.05880362108434172,0.32565575562765137,0.06879061669141971,0.00993302867260026,0.01027524146614316,0.8070964517741129,0.05814700060645689,0.08139691751454566,1.0,0.3456450171825119,1.0
Feeling sad or Tearful,Sad/tearful,3,141.78611346005374,2,1.6275586849451708e-31,13.269726003312721,0.0013137587155997936,7.914728386395958,0.0191134272564276,,0.34609401111256,0.1866580854449123,0.5040411845966324,0.1546411287311685,0.08897100573174449,0.09203623562479495,0.0004997501249375312,0.5274760407416256,0.12603263757795297,0.010510069724798348,0.057340281769282804,0.004497751124437781
Irritable towards baby & partner,Irritable,3,120.5734017743739,2,6.5738300538457e-27,11.284433755806788,0.003545000854680645,12.149646243908318,0.002300052979023771,,0.31957627939672506,0.15898283195242263,0.47204206858394804,0.20345637787221174,0.07525577194280174,0.07784848447748044,0.00399800099950025,0.4407702886621103,0.19784251605080172,0.021270005128083868,0.02070047681121394,0.0239880059970015
Trouble sleeping at night,Sleep trouble,3,76.59266911458712,2,2.3340664960023615e-17,7.168288263288282,0.02776041672790301,5.30353732954807,0.07052636518820911,,0.2528178979744796,0.10608690465917493,0.41538837672083456,0.11550792916823456,0.049022275612491346,0.050711191494658935,0.02048975512243878,0.29183642295368717,0.0846297220664269,0.13880208363951504,0.10578954778231367,0.1024487756121939
Problems concentrating or making decision,Concentration,3,182.15102815148373,2,2.795160821695663e-40,17.04746801930553,0.00019869610527053862,6.019307491226813,0.04930874917563803,,0.394934847596019,0.2717555591410931,0.5184161685091778,0.1284786729935108,0.12190469903482486,0.12610456082700805,0.0004997501249375312,0.7561263110129004,0.09854256827504976,0.0017882649474348475,0.08875574851614845,0.004497751124437781
Overeating or loss of appetite,Appetite,2,0.14885659380207578,1,0.6996304415171316,0.013931450445578886,0.906042647067708,0.49333758825903773,0.48244224834251437,0.5737408990909255,0.0,0.0,0.16802346845650445,0.0,9.213308403439521e-05,9.530725387768828e-05,0.856071964017991,0.0005107965528944906,0.007779239806820814,1.0,0.48663993938236616,1.0
Feeling anxious,Anxious,2,0.16658465359248348,1,0.6831651445554727,0.015590615015706787,0.9006324982289122,0.48394692669501926,0.48663993938236616,0.5139389927211506,0.0,0.0,0.1803764080487267,0.0,0.00010270361659687772,0.0001062419625234858,0.9080459770114943,0.0006127805787146086,0.0077335206935260584,1.0,0.48663993938236616,1.0
Feeling of guilt,Guilt,3,132.0352582952949,2,2.132592869830002e-29,12.357145968662216,0.0020733844967156896,8.683223068698213,0.013015536309566884,,0.33509933070957054,0.2084905756803304,0.47006332034936477,0.16539989378392397,0.08743850946261562,0.09045094178036064,0.0009995002498750624,0.5340652848052899,0.1427222414977772,0.014513691477009826,0.057340281769282804,0.0069965017491254375
Problems of bonding with baby,Bonding,3,37.26701303272308,2,8.08296952579892e-09,3.4878101940881856,0.1748363130029779,6.349224700729988,0.04181030869476646,,0.17383551881481152,0.03506664059505008,0.3482276299921344,0.13257338799387672,0.02361417854622939,0.024427734438785827,0.16541729135432284,0.13895625901132416,0.10089822468480672,0.6993452520119116,0.08875574851614845,0.6616691654172914
