Item,Short,Levels,Valid n,Missing n,Missing %,Mode,Mode share,Median level,Entropy (bits),Norm. entropy,Gini-Simpson,Imbalance (max/min)
Age,Age,5,1168,0,0.0,35-40,0.2440068493150685,35-40,2.272467303553993,0.9786983966289582,0.7875495519797335,2.1923076923076925
Feeling sad or Tearful,Sad/tearful,3,1168,0,0.0,Yes,0.3715753424657534,Sometimes,1.5728435437690749,0.9923537894766803,0.6612345186714206,1.35625
Irritable towards baby & partner,Irritable,3,1162,6,0.5136986301369862,Yes,0.37607573149741824,Sometimes,1.5652655264052155,0.9875725928487403,0.6579536735582606,1.4615384615384615
Trouble sleeping at night,Sleep trouble,3,1168,0,0.0,Two or more days a week,0.3715753424657534,Two or more days a week,1.5795411882028865,0.9965795326288143,0.6641431319196848,1.2329545454545454
Problems concentrating or making decision,Concentration,3,1156,12,1.0273972602739725,No,0.35986159169550175,Often,1.5783283305887328,0.9958143046731991,0.6636714119802205,1.2455089820359282
Overeating or loss of appetite,Appetite,2,1168,0,0.0,No,0.7696917808219178,No,0.778548211974863,0.778548211974863,0.35453268671420535,3.342007434944238
Feeling anxious,Anxious,2,1168,0,0.0,Yes,0.7277397260273972,Yes,0.844689322448742,0.844689322448742,0.39626923437793216,2.6729559748427674
Feeling of guilt,Guilt,3,1159,9,0.7705479452054794,No,0.4814495254529767,Maybe,1.480735680110131,0.9342401977563495,0.6207427932055913,2.6956521739130435
Problems of bonding with baby,Bonding,3,1168,0,0.0,No,0.3818493150684932,Sometimes,1.572538454870334,0.9921612998129804,0.6610190115406267,1.3808049535603715
