rep,Method,Accuracy,Cells
20,Iterative MCA (2 dims),0.43612334801762115,227
21,Marginal sampling,0.35,240
21,Mode,0.44166666666666665,240
21,"KNN (Hamming, k=7)",0.4708333333333333,240
21,MICE (logistic),0.44166666666666665,240
21,MICE (random forest),0.4583333333333333,240
21,Iterative MCA (2 dims),0.4583333333333333,240
22,Marginal sampling,0.3244444444444444,225
22,Mode,0.4533333333333333,225
22,"KNN (Hamming, k=7)",0.47555555555555556,225
22,MICE (logistic),0.43555555555555553,225
22,MICE (random forest),0.49333333333333335,225
22,Iterative MCA (2 dims),0.44,225
23,Marginal sampling,0.30412371134020616,194
23,Mode,0.4329896907216495,194
23,"KNN (Hamming, k=7)",0.41237113402061853,194
23,MICE (logistic),0.4587628865979381,194
23,MICE (random forest),0.4845360824742268,194
23,Iterative MCA (2 dims),0.39690721649484534,194
24,Marginal sampling,0.4189189189189189,222
24,Mode,0.4369369369369369,222
24,"KNN (Hamming, k=7)",0.4594594594594595,222
24,MICE (logistic),0.4774774774774775,222
24,MICE (random forest),0.46846846846846846,222
24,Iterative MCA (2 dims),0.46396396396396394,222
25,Marginal sampling,0.37320574162679426,209
25,Mode,0.4784688995215311,209
25,"KNN (Hamming, k=7)",0.507177033492823,209
25,MICE (logistic),0.5023923444976076,209
25,MICE (random forest),0.5023923444976076,209
25,Iterative MCA (2 dims),0.4784688995215311,209
26,Marginal sampling,0.44052863436123346,227
26,Mode,0.3744493392070485,227
26,"KNN (Hamming, k=7)",0.4933920704845815,227
26,MICE (logistic),0.4581497797356828,227
26,MICE (random forest),0.5154185022026432,227
26,Iterative MCA (2 dims),0.4845814977973568,227
27,Marginal sampling,0.38461538461538464,208
27,Mode,0.41346153846153844,208
27,"KNN (Hamming, k=7)",0.5336538461538461,208
27,MICE (logistic),0.47596153846153844,208
27,MICE (random forest),0.49038461538461536,208
27,Iterative MCA (2 dims),0.4567307692307692,208
28,Marginal sampling,0.3611111111111111,252
28,Mode,0.40476190476190477,252
28,"KNN (Hamming, k=7)",0.503968253968254,252
28,MICE (logistic),0.48412698412698413,252
28,MICE (random forest),0.48412698412698413,252
28,Iterative MCA (2 dims),0.48412698412698413,252
29,Marginal sampling,0.3613861386138614,202
29,Mode,0.4504950495049505,202
29,"KNN (Hamming, k=7)",0.47029702970297027,202
29,MICE (logistic),0.4900990099009901,202
29,MICE (random forest),0.4504950495049505,202
29,Iterative MCA (2 dims),0.4801980198019802,202
