Model,Accuracy,Accuracy (SD),Precision,Precision (SD),Recall,Recall (SD),F1,F1 (SD),ROC-AUC,ROC-AUC (SD),Specificity,Specificity (SD),MCC,MCC (SD),TN,FP,FN,TP,Threshold
Random Forest,0.7782142988151571,0.04317273164772167,0.6784569245407741,0.056001508922519996,0.8402771141901576,0.1019492367113346,0.7475507496922795,0.05059978717246786,0.8901641507638864,0.028071771460966906,0.7376186195185296,0.07276709580901086,0.5699482120649791,0.09331555624946421,523,186,73,386,0.364
SVM (RBF),0.7696929679762298,0.041361210893023234,0.6610288668064552,0.044559598603925096,0.8620868845974036,0.10782856410135748,0.7447666644901707,0.04952297778677619,0.8912809689145587,0.013021272300802845,0.7094496054340226,0.07425749384395766,0.5637931160528289,0.08658054954912477,503,206,63,396,0.43200000000000005
ANN (MLP),0.7141557536407321,0.06961530989660712,0.6284906800902673,0.10012781041043688,0.748873613529995,0.10584971163986526,0.675239703055434,0.053394840989609255,0.8079256186770809,0.04473306976687975,0.6907901308560584,0.15507933221924006,0.44253150177459466,0.10888613793206975,490,219,115,344,0.418
Logistic Regression,0.6635926781849528,0.07122715529770753,0.6007660445112758,0.09581604669465153,0.6784442766209947,0.271699554753962,0.5947592305399116,0.11240533842512047,0.7778062678541647,0.05323770408772819,0.6529117970232744,0.26130366052749665,0.36400280365569787,0.059315386093773535,463,246,147,312,0.434
