Rank,Model,Questions,Cut-off,AUC,AUC lo,AUC hi,Sensitivity,Specificity,PPV,F1,Accuracy
1,Best 4 items: Sleep + Concentration + Slowness + Self-harm,4,5.0,0.8604676826767018,0.841426927580573,0.8805984424748301,0.7279735682819384,0.8461538461538461,0.8968792401628223,0.8036474164133739,0.7696148359486448
2,Best 3 items + sociodemographics (GBM),3,0.645,0.8190087213968502,0.796227173896562,0.8408258542572765,0.7268722466960352,0.7631578947368421,0.8494208494208494,0.7833827893175074,0.739657631954351
3,Best 3 items: Sleep + Slowness + Self-harm,3,4.0,0.8183666553710606,0.7963671472857026,0.8406014549006313,0.6552863436123348,0.840080971659919,0.8827893175074184,0.7522123893805309,0.7203994293865906
4,Best 2 items: Slowness + Self-harm,2,3.0,0.754834445058767,0.7304355533460564,0.780048083907882,0.5803964757709251,0.8360323886639676,0.8667763157894737,0.6952506596306068,0.6704707560627675
5,"PHQ-2 (standard, cut-off 3)",2,3.0,0.718905500365621,0.692331196858037,0.7462959606170841,0.7081497797356828,0.6032388663967612,0.766388557806913,0.7361190612478534,0.6711840228245364
6,Sociodemographics only (no questions),0,0.649,0.5607733328577289,0.5272101727553529,0.5925358003201352,0.5671806167400881,0.5425101214574899,0.6950067476383266,0.624620982413584,0.5584878744650499
