Feature,Chi2,dof,p-value,Cramer's V,Positive rate range
Problems concentrating or making decision,182.15102815148373,2,2.795160821695663e-40,0.394934847596019,0.15–0.62
Feeling sad or Tearful,141.78611346005374,2,1.6275586849451708e-31,0.34609401111256,0.20–0.61
Feeling of guilt,132.0352582952949,2,2.132592869830002e-29,0.33509933070957054,0.17–0.60
Irritable towards baby & partner,120.5734017743739,2,6.5738300538457e-27,0.31957627939672506,0.25–0.59
Trouble sleeping at night,76.59266911458712,2,2.3340664960023615e-17,0.2528178979744796,0.23–0.52
Problems of bonding with baby,37.26701303272308,2,8.08296952579892e-09,0.17383551881481152,0.27–0.47
Age,15.677720388818335,4,0.0034835539254757697,0.10001842747455082,0.28–0.47
Overeating or loss of appetite,0.09901950767007864,1,0.753009450860614,0.0,0.38–0.40
Feeling anxious,0.11618076068990152,1,0.7332142563904007,0.0,0.39–0.40
