Rank,Population,Model,n,Prevalence,AUC,AUC lo,AUC hi,Sensitivity,Specificity
1,All women 18-49,Gradient Boosting,11104,0.11779538904899135,0.7134888499081569,0.6991893000283261,0.7279528146795199,0.5909785932721713,0.7338709677419355
2,All women 18-49,Random Forest,11104,0.11779538904899135,0.7112928668382402,0.6972178566866418,0.7258287697922371,0.5642201834862385,0.7514291547570437
3,All women 18-49,Logistic Regression,11104,0.11779538904899135,0.6658916826814415,0.6513868413194037,0.6805697982702554,0.5168195718654435,0.7217231523070642
4,All women 18-49,Baseline (majority),11104,0.11779538904899135,0.4995004748240247,0.48556970124908727,0.5137569388512578,0.0,1.0
1,Perinatal only,Random Forest,1467,0.08793456032719836,0.6610410076360645,0.6162034953680832,0.7078474344711528,0.813953488372093,0.4581464872944694
2,Perinatal only,Logistic Regression,1467,0.08793456032719836,0.6560120971947023,0.6052216663679302,0.7013765297367891,0.7829457364341085,0.5059790732436472
3,Perinatal only,Gradient Boosting,1467,0.08793456032719836,0.6448824463215954,0.6005545237042369,0.6902515305838718,0.751937984496124,0.5059790732436472
4,Perinatal only,Baseline (majority),1467,0.08793456032719836,0.49644847684267857,0.44357252982608414,0.5451215456246343,0.0,1.0
