rep,Method,Item,Accuracy
8,Iterative MCA (2 dims),Trouble sleeping at night,0.47368421052631576
8,Iterative MCA (2 dims),Problems concentrating or making decision,0.55
8,Iterative MCA (2 dims),Overeating or loss of appetite,0.8
8,Iterative MCA (2 dims),Feeling anxious,0.631578947368421
8,Iterative MCA (2 dims),Feeling of guilt,0.5769230769230769
8,Iterative MCA (2 dims),Problems of bonding with baby,0.39285714285714285
9,Marginal sampling,Age,0.25
9,Marginal sampling,Feeling sad or Tearful,0.5454545454545454
9,Marginal sampling,Irritable towards baby & partner,0.18518518518518517
9,Marginal sampling,Trouble sleeping at night,0.3333333333333333
9,Marginal sampling,Problems concentrating or making decision,0.22727272727272727
9,Marginal sampling,Overeating or loss of appetite,0.34782608695652173
9,Marginal sampling,Feeling anxious,0.5
9,Marginal sampling,Feeling of guilt,0.35
9,Marginal sampling,Problems of bonding with baby,0.25
9,Mode,Age,0.39285714285714285
9,Mode,Feeling sad or Tearful,0.45454545454545453
9,Mode,Irritable towards baby & partner,0.2962962962962963
9,Mode,Trouble sleeping at night,0.6111111111111112
9,Mode,Problems concentrating or making decision,0.2727272727272727
9,Mode,Overeating or loss of appetite,0.6086956521739131
9,Mode,Feeling anxious,0.6666666666666666
9,Mode,Feeling of guilt,0.45
9,Mode,Problems of bonding with baby,0.25
9,"KNN (Hamming, k=7)",Age,0.25
9,"KNN (Hamming, k=7)",Feeling sad or Tearful,0.36363636363636365
9,"KNN (Hamming, k=7)",Irritable towards baby & partner,0.2962962962962963
9,"KNN (Hamming, k=7)",Trouble sleeping at night,0.3888888888888889
9,"KNN (Hamming, k=7)",Problems concentrating or making decision,0.36363636363636365
9,"KNN (Hamming, k=7)",Overeating or loss of appetite,0.5652173913043478
9,"KNN (Hamming, k=7)",Feeling anxious,0.7
9,"KNN (Hamming, k=7)",Feeling of guilt,0.6
9,"KNN (Hamming, k=7)",Problems of bonding with baby,0.25
9,MICE (logistic),Age,0.25
9,MICE (logistic),Feeling sad or Tearful,0.5909090909090909
9,MICE (logistic),Irritable towards baby & partner,0.4074074074074074
9,MICE (logistic),Trouble sleeping at night,0.3333333333333333
9,MICE (logistic),Problems concentrating or making decision,0.36363636363636365
9,MICE (logistic),Overeating or loss of appetite,0.6521739130434783
9,MICE (logistic),Feeling anxious,0.7666666666666667
9,MICE (logistic),Feeling of guilt,0.6
9,MICE (logistic),Problems of bonding with baby,0.32142857142857145
9,MICE (random forest),Age,0.39285714285714285
9,MICE (random forest),Feeling sad or Tearful,0.4090909090909091
9,MICE (random forest),Irritable towards baby & partner,0.4074074074074074
9,MICE (random forest),Trouble sleeping at night,0.3888888888888889
9,MICE (random forest),Problems concentrating or making decision,0.5
9,MICE (random forest),Overeating or loss of appetite,0.6086956521739131
9,MICE (random forest),Feeling anxious,0.7
9,MICE (random forest),Feeling of guilt,0.6
9,MICE (random forest),Problems of bonding with baby,0.39285714285714285
9,Iterative MCA (2 dims),Age,0.21428571428571427
9,Iterative MCA (2 dims),Feeling sad or Tearful,0.5454545454545454
9,Iterative MCA (2 dims),Irritable towards baby & partner,0.3333333333333333
9,Iterative MCA (2 dims),Trouble sleeping at night,0.16666666666666666
9,Iterative MCA (2 dims),Problems concentrating or making decision,0.5
9,Iterative MCA (2 dims),Overeating or loss of appetite,0.6956521739130435
9,Iterative MCA (2 dims),Feeling anxious,0.8
9,Iterative MCA (2 dims),Feeling of guilt,0.65
9,Iterative MCA (2 dims),Problems of bonding with baby,0.4642857142857143
10,Marginal sampling,Age,0.09523809523809523
10,Marginal sampling,Feeling sad or Tearful,0.2857142857142857
10,Marginal sampling,Irritable towards baby & partner,0.3333333333333333
10,Marginal sampling,Trouble sleeping at night,0.3793103448275862
10,Marginal sampling,Problems concentrating or making decision,0.23333333333333334
10,Marginal sampling,Overeating or loss of appetite,0.6363636363636364
10,Marginal sampling,Feeling anxious,0.5454545454545454
10,Marginal sampling,Feeling of guilt,0.14285714285714285
10,Marginal sampling,Problems of bonding with baby,0.16666666666666666
10,Mode,Age,0.19047619047619047
10,Mode,Feeling sad or Tearful,0.2857142857142857
10,Mode,Irritable towards baby & partner,0.42857142857142855
10,Mode,Trouble sleeping at night,0.27586206896551724
10,Mode,Problems concentrating or making decision,0.36666666666666664
10,Mode,Overeating or loss of appetite,0.6363636363636364
10,Mode,Feeling anxious,0.45454545454545453
10,Mode,Feeling of guilt,0.2857142857142857
10,Mode,Problems of bonding with baby,0.25
10,"KNN (Hamming, k=7)",Age,0.2857142857142857
10,"KNN (Hamming, k=7)",Feeling sad or Tearful,0.4642857142857143
10,"KNN (Hamming, k=7)",Irritable towards baby & partner,0.2857142857142857
10,"KNN (Hamming, k=7)",Trouble sleeping at night,0.5517241379310345
10,"KNN (Hamming, k=7)",Problems concentrating or making decision,0.4666666666666667
10,"KNN (Hamming, k=7)",Overeating or loss of appetite,0.6666666666666666
10,"KNN (Hamming, k=7)",Feeling anxious,0.6363636363636364
10,"KNN (Hamming, k=7)",Feeling of guilt,0.42857142857142855
10,"KNN (Hamming, k=7)",Problems of bonding with baby,0.4583333333333333
10,MICE (logistic),Age,0.23809523809523808
10,MICE (logistic),Feeling sad or Tearful,0.5
10,MICE (logistic),Irritable towards baby & partner,0.5714285714285714
10,MICE (logistic),Trouble sleeping at night,0.4827586206896552
10,MICE (logistic),Problems concentrating or making decision,0.26666666666666666
10,MICE (logistic),Overeating or loss of appetite,0.696969696969697
10,MICE (logistic),Feeling anxious,0.6818181818181818
10,MICE (logistic),Feeling of guilt,0.42857142857142855
10,MICE (logistic),Problems of bonding with baby,0.375
10,MICE (random forest),Age,0.14285714285714285
10,MICE (random forest),Feeling sad or Tearful,0.39285714285714285
10,MICE (random forest),Irritable towards baby & partner,0.47619047619047616
10,MICE (random forest),Trouble sleeping at night,0.5862068965517241
10,MICE (random forest),Problems concentrating or making decision,0.43333333333333335
10,MICE (random forest),Overeating or loss of appetite,0.6666666666666666
10,MICE (random forest),Feeling anxious,0.8181818181818182
10,MICE (random forest),Feeling of guilt,0.3333333333333333
10,MICE (random forest),Problems of bonding with baby,0.5
10,Iterative MCA (2 dims),Age,0.19047619047619047
10,Iterative MCA (2 dims),Feeling sad or Tearful,0.4642857142857143
10,Iterative MCA (2 dims),Irritable towards baby & partner,0.2857142857142857
10,Iterative MCA (2 dims),Trouble sleeping at night,0.3103448275862069
10,Iterative MCA (2 dims),Problems concentrating or making decision,0.5
10,Iterative MCA (2 dims),Overeating or loss of appetite,0.6363636363636364
10,Iterative MCA (2 dims),Feeling anxious,0.6818181818181818
10,Iterative MCA (2 dims),Feeling of guilt,0.47619047619047616
10,Iterative MCA (2 dims),Problems of bonding with baby,0.3333333333333333
11,Marginal sampling,Age,0.0625
11,Marginal sampling,Feeling sad or Tearful,0.16
11,Marginal sampling,Irritable towards baby & partner,0.5185185185185185
11,Marginal sampling,Trouble sleeping at night,0.391304347826087
11,Marginal sampling,Problems concentrating or making decision,0.32
11,Marginal sampling,Overeating or loss of appetite,0.5909090909090909
11,Marginal sampling,Feeling anxious,0.5806451612903226
11,Marginal sampling,Feeling of guilt,0.2631578947368421
11,Marginal sampling,Problems of bonding with baby,0.4
11,Mode,Age,0.125
11,Mode,Feeling sad or Tearful,0.32
11,Mode,Irritable towards baby & partner,0.48148148148148145
11,Mode,Trouble sleeping at night,0.391304347826087
11,Mode,Problems concentrating or making decision,0.32
11,Mode,Overeating or loss of appetite,0.7272727272727273
11,Mode,Feeling anxious,0.7741935483870968
11,Mode,Feeling of guilt,0.42105263157894735
11,Mode,Problems of bonding with baby,0.26666666666666666
11,"KNN (Hamming, k=7)",Age,0.25
11,"KNN (Hamming, k=7)",Feeling sad or Tearful,0.4
11,"KNN (Hamming, k=7)",Irritable towards baby & partner,0.48148148148148145
11,"KNN (Hamming, k=7)",Trouble sleeping at night,0.6086956521739131
11,"KNN (Hamming, k=7)",Problems concentrating or making decision,0.56
11,"KNN (Hamming, k=7)",Overeating or loss of appetite,0.5
11,"KNN (Hamming, k=7)",Feeling anxious,0.7419354838709677
11,"KNN (Hamming, k=7)",Feeling of guilt,0.3684210526315789
11,"KNN (Hamming, k=7)",Problems of bonding with baby,0.4
11,MICE (logistic),Age,0.1875
11,MICE (logistic),Feeling sad or Tearful,0.36
11,MICE (logistic),Irritable towards baby & partner,0.4444444444444444
11,MICE (logistic),Trouble sleeping at night,0.43478260869565216
11,MICE (logistic),Problems concentrating or making decision,0.4
11,MICE (logistic),Overeating or loss of appetite,0.6363636363636364
11,MICE (logistic),Feeling anxious,0.7741935483870968
11,MICE (logistic),Feeling of guilt,0.42105263157894735
11,MICE (logistic),Problems of bonding with baby,0.3333333333333333
11,MICE (random forest),Age,0.125
11,MICE (random forest),Feeling sad or Tearful,0.36
11,MICE (random forest),Irritable towards baby & partner,0.4444444444444444
11,MICE (random forest),Trouble sleeping at night,0.6956521739130435
11,MICE (random forest),Problems concentrating or making decision,0.6
11,MICE (random forest),Overeating or loss of appetite,0.5909090909090909
11,MICE (random forest),Feeling anxious,0.8064516129032258
11,MICE (random forest),Feeling of guilt,0.47368421052631576
11,MICE (random forest),Problems of bonding with baby,0.3333333333333333
11,Iterative MCA (2 dims),Age,0.125
11,Iterative MCA (2 dims),Feeling sad or Tearful,0.24
11,Iterative MCA (2 dims),Irritable towards baby & partner,0.4074074074074074
11,Iterative MCA (2 dims),Trouble sleeping at night,0.4782608695652174
11,Iterative MCA (2 dims),Problems concentrating or making decision,0.48
11,Iterative MCA (2 dims),Overeating or loss of appetite,0.45454545454545453
11,Iterative MCA (2 dims),Feeling anxious,0.7419354838709677
11,Iterative MCA (2 dims),Feeling of guilt,0.42105263157894735
11,Iterative MCA (2 dims),Problems of bonding with baby,0.4
12,Marginal sampling,Age,0.28
12,Marginal sampling,Feeling sad or Tearful,0.4375
12,Marginal sampling,Irritable towards baby & partner,0.38095238095238093
12,Marginal sampling,Trouble sleeping at night,0.35294117647058826
12,Marginal sampling,Problems concentrating or making decision,0.35294117647058826
12,Marginal sampling,Overeating or loss of appetite,0.5806451612903226
12,Marginal sampling,Feeling anxious,0.5172413793103449
12,Marginal sampling,Feeling of guilt,0.29411764705882354
12,Marginal sampling,Problems of bonding with baby,0.2916666666666667
12,Mode,Age,0.24
12,Mode,Feeling sad or Tearful,0.375
12,Mode,Irritable towards baby & partner,0.2857142857142857
12,Mode,Trouble sleeping at night,0.23529411764705882
12,Mode,Problems concentrating or making decision,0.11764705882352941
12,Mode,Overeating or loss of appetite,0.6129032258064516
12,Mode,Feeling anxious,0.5172413793103449
12,Mode,Feeling of guilt,0.35294117647058826
12,Mode,Problems of bonding with baby,0.16666666666666666
12,"KNN (Hamming, k=7)",Age,0.12
12,"KNN (Hamming, k=7)",Feeling sad or Tearful,0.5
12,"KNN (Hamming, k=7)",Irritable towards baby & partner,0.7142857142857143
12,"KNN (Hamming, k=7)",Trouble sleeping at night,0.29411764705882354
12,"KNN (Hamming, k=7)",Problems concentrating or making decision,0.4117647058823529
12,"KNN (Hamming, k=7)",Overeating or loss of appetite,0.6451612903225806
12,"KNN (Hamming, k=7)",Feeling anxious,0.6896551724137931
12,"KNN (Hamming, k=7)",Feeling of guilt,0.5294117647058824
12,"KNN (Hamming, k=7)",Problems of bonding with baby,0.4583333333333333
12,MICE (logistic),Age,0.32
12,MICE (logistic),Feeling sad or Tearful,0.6875
12,MICE (logistic),Irritable towards baby & partner,0.42857142857142855
12,MICE (logistic),Trouble sleeping at night,0.35294117647058826
12,MICE (logistic),Problems concentrating or making decision,0.5882352941176471
12,MICE (logistic),Overeating or loss of appetite,0.6774193548387096
12,MICE (logistic),Feeling anxious,0.7241379310344828
12,MICE (logistic),Feeling of guilt,0.6176470588235294
12,MICE (logistic),Problems of bonding with baby,0.25
12,MICE (random forest),Age,0.16
12,MICE (random forest),Feeling sad or Tearful,0.375
12,MICE (random forest),Irritable towards baby & partner,0.5714285714285714
12,MICE (random forest),Trouble sleeping at night,0.29411764705882354
12,MICE (random forest),Problems concentrating or making decision,0.35294117647058826
12,MICE (random forest),Overeating or loss of appetite,0.6451612903225806
12,MICE (random forest),Feeling anxious,0.7241379310344828
12,MICE (random forest),Feeling of guilt,0.5294117647058824
12,MICE (random forest),Problems of bonding with baby,0.375
12,Iterative MCA (2 dims),Age,0.24
12,Iterative MCA (2 dims),Feeling sad or Tearful,0.4375
12,Iterative MCA (2 dims),Irritable towards baby & partner,0.3333333333333333
12,Iterative MCA (2 dims),Trouble sleeping at night,0.29411764705882354
12,Iterative MCA (2 dims),Problems concentrating or making decision,0.47058823529411764
12,Iterative MCA (2 dims),Overeating or loss of appetite,0.7419354838709677
12,Iterative MCA (2 dims),Feeling anxious,0.6206896551724138
12,Iterative MCA (2 dims),Feeling of guilt,0.5
12,Iterative MCA (2 dims),Problems of bonding with baby,0.375
13,Marginal sampling,Age,0.13043478260869565
13,Marginal sampling,Feeling sad or Tearful,0.36
13,Marginal sampling,Irritable towards baby & partner,0.2857142857142857
13,Marginal sampling,Trouble sleeping at night,0.35
13,Marginal sampling,Problems concentrating or making decision,0.15
13,Marginal sampling,Overeating or loss of appetite,0.625
13,Marginal sampling,Feeling anxious,0.47368421052631576
13,Marginal sampling,Feeling of guilt,0.36363636363636365
13,Marginal sampling,Problems of bonding with baby,0.3157894736842105
13,Mode,Age,0.2608695652173913
13,Mode,Feeling sad or Tearful,0.36
13,Mode,Irritable towards baby & partner,0.42857142857142855
13,Mode,Trouble sleeping at night,0.35
13,Mode,Problems concentrating or making decision,0.25
13,Mode,Overeating or loss of appetite,0.8125
13,Mode,Feeling anxious,0.631578947368421
13,Mode,Feeling of guilt,0.5454545454545454
13,Mode,Problems of bonding with baby,0.3684210526315789
13,"KNN (Hamming, k=7)",Age,0.30434782608695654
13,"KNN (Hamming, k=7)",Feeling sad or Tearful,0.28
13,"KNN (Hamming, k=7)",Irritable towards baby & partner,0.42857142857142855
13,"KNN (Hamming, k=7)",Trouble sleeping at night,0.5
13,"KNN (Hamming, k=7)",Problems concentrating or making decision,0.55
13,"KNN (Hamming, k=7)",Overeating or loss of appetite,0.75
13,"KNN (Hamming, k=7)",Feeling anxious,0.8421052631578947
13,"KNN (Hamming, k=7)",Feeling of guilt,0.5
13,"KNN (Hamming, k=7)",Problems of bonding with baby,0.42105263157894735
13,MICE (logistic),Age,0.17391304347826086
13,MICE (logistic),Feeling sad or Tearful,0.36
13,MICE (logistic),Irritable towards baby & partner,0.39285714285714285
13,MICE (logistic),Trouble sleeping at night,0.45
13,MICE (logistic),Problems concentrating or making decision,0.3
13,MICE (logistic),Overeating or loss of appetite,0.75
13,MICE (logistic),Feeling anxious,0.7368421052631579
13,MICE (logistic),Feeling of guilt,0.45454545454545453
13,MICE (logistic),Problems of bonding with baby,0.5263157894736842
13,MICE (random forest),Age,0.21739130434782608
13,MICE (random forest),Feeling sad or Tearful,0.32
13,MICE (random forest),Irritable towards baby & partner,0.4642857142857143
13,MICE (random forest),Trouble sleeping at night,0.35
13,MICE (random forest),Problems concentrating or making decision,0.4
13,MICE (random forest),Overeating or loss of appetite,0.8125
13,MICE (random forest),Feeling anxious,0.8421052631578947
13,MICE (random forest),Feeling of guilt,0.6363636363636364
13,MICE (random forest),Problems of bonding with baby,0.3684210526315789
13,Iterative MCA (2 dims),Age,0.2608695652173913
13,Iterative MCA (2 dims),Feeling sad or Tearful,0.48
13,Iterative MCA (2 dims),Irritable towards baby & partner,0.2857142857142857
13,Iterative MCA (2 dims),Trouble sleeping at night,0.55
13,Iterative MCA (2 dims),Problems concentrating or making decision,0.45
13,Iterative MCA (2 dims),Overeating or loss of appetite,0.8125
13,Iterative MCA (2 dims),Feeling anxious,0.6842105263157895
13,Iterative MCA (2 dims),Feeling of guilt,0.5909090909090909
13,Iterative MCA (2 dims),Problems of bonding with baby,0.42105263157894735
14,Marginal sampling,Age,0.11538461538461539
14,Marginal sampling,Feeling sad or Tearful,0.46153846153846156
14,Marginal sampling,Irritable towards baby & partner,0.4
14,Marginal sampling,Trouble sleeping at night,0.2692307692307692
14,Marginal sampling,Problems concentrating or making decision,0.36666666666666664
14,Marginal sampling,Overeating or loss of appetite,0.5263157894736842
14,Marginal sampling,Feeling anxious,0.53125
14,Marginal sampling,Feeling of guilt,0.14285714285714285
14,Marginal sampling,Problems of bonding with baby,0.5263157894736842
14,Mode,Age,0.34615384615384615
14,Mode,Feeling sad or Tearful,0.46153846153846156
14,Mode,Irritable towards baby & partner,0.35
14,Mode,Trouble sleeping at night,0.46153846153846156
14,Mode,Problems concentrating or making decision,0.36666666666666664
14,Mode,Overeating or loss of appetite,0.5789473684210527
14,Mode,Feeling anxious,0.65625
14,Mode,Feeling of guilt,0.42857142857142855
14,Mode,Problems of bonding with baby,0.2631578947368421
14,"KNN (Hamming, k=7)",Age,0.23076923076923078
14,"KNN (Hamming, k=7)",Feeling sad or Tearful,0.5384615384615384
14,"KNN (Hamming, k=7)",Irritable towards baby & partner,0.55
14,"KNN (Hamming, k=7)",Trouble sleeping at night,0.38461538461538464
14,"KNN (Hamming, k=7)",Problems concentrating or making decision,0.5
14,"KNN (Hamming, k=7)",Overeating or loss of appetite,0.5789473684210527
14,"KNN (Hamming, k=7)",Feeling anxious,0.75
14,"KNN (Hamming, k=7)",Feeling of guilt,0.5238095238095238
14,"KNN (Hamming, k=7)",Problems of bonding with baby,0.47368421052631576
14,MICE (logistic),Age,0.34615384615384615
14,MICE (logistic),Feeling sad or Tearful,0.6153846153846154
14,MICE (logistic),Irritable towards baby & partner,0.45
14,MICE (logistic),Trouble sleeping at night,0.46153846153846156
14,MICE (logistic),Problems concentrating or making decision,0.36666666666666664
14,MICE (logistic),Overeating or loss of appetite,0.5789473684210527
14,MICE (logistic),Feeling anxious,0.84375
14,MICE (logistic),Feeling of guilt,0.42857142857142855
14,MICE (logistic),Problems of bonding with baby,0.42105263157894735
14,MICE (random forest),Age,0.23076923076923078
14,MICE (random forest),Feeling sad or Tearful,0.5384615384615384
14,MICE (random forest),Irritable towards baby & partner,0.5
14,MICE (random forest),Trouble sleeping at night,0.46153846153846156
14,MICE (random forest),Problems concentrating or making decision,0.5
14,MICE (random forest),Overeating or loss of appetite,0.5263157894736842
14,MICE (random forest),Feeling anxious,0.8125
14,MICE (random forest),Feeling of guilt,0.5714285714285714
14,MICE (random forest),Problems of bonding with baby,0.47368421052631576
14,Iterative MCA (2 dims),Age,0.15384615384615385
14,Iterative MCA (2 dims),Feeling sad or Tearful,0.5769230769230769
14,Iterative MCA (2 dims),Irritable towards baby & partner,0.25
14,Iterative MCA (2 dims),Trouble sleeping at night,0.4230769230769231
14,Iterative MCA (2 dims),Problems concentrating or making decision,0.26666666666666666
14,Iterative MCA (2 dims),Overeating or loss of appetite,0.7368421052631579
14,Iterative MCA (2 dims),Feeling anxious,0.71875
14,Iterative MCA (2 dims),Feeling of guilt,0.3333333333333333
14,Iterative MCA (2 dims),Problems of bonding with baby,0.2631578947368421
15,Marginal sampling,Age,0.25
15,Marginal sampling,Feeling sad or Tearful,0.30434782608695654
15,Marginal sampling,Irritable towards baby & partner,0.18518518518518517
15,Marginal sampling,Trouble sleeping at night,0.41935483870967744
15,Marginal sampling,Problems concentrating or making decision,0.2857142857142857
15,Marginal sampling,Overeating or loss of appetite,0.36363636363636365
15,Marginal sampling,Feeling anxious,0.5
15,Marginal sampling,Feeling of guilt,0.16666666666666666
15,Marginal sampling,Problems of bonding with baby,0.2702702702702703
15,Mode,Age,0.25
15,Mode,Feeling sad or Tearful,0.5652173913043478
15,Mode,Irritable towards baby & partner,0.3333333333333333
15,Mode,Trouble sleeping at night,0.4838709677419355
15,Mode,Problems concentrating or making decision,0.5
15,Mode,Overeating or loss of appetite,0.5909090909090909
15,Mode,Feeling anxious,0.5416666666666666
15,Mode,Feeling of guilt,0.4166666666666667
15,Mode,Problems of bonding with baby,0.2702702702702703
15,"KNN (Hamming, k=7)",Age,0.20833333333333334
15,"KNN (Hamming, k=7)",Feeling sad or Tearful,0.2608695652173913
15,"KNN (Hamming, k=7)",Irritable towards baby & partner,0.4444444444444444
15,"KNN (Hamming, k=7)",Trouble sleeping at night,0.41935483870967744
15,"KNN (Hamming, k=7)",Problems concentrating or making decision,0.4642857142857143
15,"KNN (Hamming, k=7)",Overeating or loss of appetite,0.5454545454545454
15,"KNN (Hamming, k=7)",Feeling anxious,0.75
15,"KNN (Hamming, k=7)",Feeling of guilt,0.4166666666666667
15,"KNN (Hamming, k=7)",Problems of bonding with baby,0.4864864864864865
15,MICE (logistic),Age,0.375
15,MICE (logistic),Feeling sad or Tearful,0.2608695652173913
15,MICE (logistic),Irritable towards baby & partner,0.37037037037037035
15,MICE (logistic),Trouble sleeping at night,0.5161290322580645
15,MICE (logistic),Problems concentrating or making decision,0.6428571428571429
15,MICE (logistic),Overeating or loss of appetite,0.6363636363636364
15,MICE (logistic),Feeling anxious,0.7916666666666666
15,MICE (logistic),Feeling of guilt,0.375
15,MICE (logistic),Problems of bonding with baby,0.5945945945945946
15,MICE (random forest),Age,0.16666666666666666
15,MICE (random forest),Feeling sad or Tearful,0.2608695652173913
15,MICE (random forest),Irritable towards baby & partner,0.4444444444444444
15,MICE (random forest),Trouble sleeping at night,0.41935483870967744
15,MICE (random forest),Problems concentrating or making decision,0.42857142857142855
15,MICE (random forest),Overeating or loss of appetite,0.5909090909090909
15,MICE (random forest),Feeling anxious,0.9166666666666666
15,MICE (random forest),Feeling of guilt,0.375
15,MICE (random forest),Problems of bonding with baby,0.40540540540540543
15,Iterative MCA (2 dims),Age,0.20833333333333334
15,Iterative MCA (2 dims),Feeling sad or Tearful,0.43478260869565216
15,Iterative MCA (2 dims),Irritable towards baby & partner,0.4074074074074074
15,Iterative MCA (2 dims),Trouble sleeping at night,0.5483870967741935
15,Iterative MCA (2 dims),Problems concentrating or making decision,0.42857142857142855
15,Iterative MCA (2 dims),Overeating or loss of appetite,0.6818181818181818
15,Iterative MCA (2 dims),Feeling anxious,0.8333333333333334
15,Iterative MCA (2 dims),Feeling of guilt,0.5
15,Iterative MCA (2 dims),Problems of bonding with baby,0.4594594594594595
16,Marginal sampling,Age,0.15
16,Marginal sampling,Feeling sad or Tearful,0.17647058823529413
16,Marginal sampling,Irritable towards baby & partner,0.28
16,Marginal sampling,Trouble sleeping at night,0.48
16,Marginal sampling,Problems concentrating or making decision,0.30434782608695654
16,Marginal sampling,Overeating or loss of appetite,0.6071428571428571
16,Marginal sampling,Feeling anxious,0.42105263157894735
16,Marginal sampling,Feeling of guilt,0.3181818181818182
16,Marginal sampling,Problems of bonding with baby,0.12
16,Mode,Age,0.35
16,Mode,Feeling sad or Tearful,0.5294117647058824
16,Mode,Irritable towards baby & partner,0.28
16,Mode,Trouble sleeping at night,0.28
16,Mode,Problems concentrating or making decision,0.5217391304347826
16,Mode,Overeating or loss of appetite,0.7857142857142857
16,Mode,Feeling anxious,0.47368421052631576
16,Mode,Feeling of guilt,0.36363636363636365
16,Mode,Problems of bonding with baby,0.16
16,"KNN (Hamming, k=7)",Age,0.15
16,"KNN (Hamming, k=7)",Feeling sad or Tearful,0.5294117647058824
16,"KNN (Hamming, k=7)",Irritable towards baby & partner,0.48
16,"KNN (Hamming, k=7)",Trouble sleeping at night,0.6
16,"KNN (Hamming, k=7)",Problems concentrating or making decision,0.4782608695652174
16,"KNN (Hamming, k=7)",Overeating or loss of appetite,0.75
16,"KNN (Hamming, k=7)",Feeling anxious,0.5789473684210527
16,"KNN (Hamming, k=7)",Feeling of guilt,0.5
16,"KNN (Hamming, k=7)",Problems of bonding with baby,0.44
16,MICE (logistic),Age,0.1
16,MICE (logistic),Feeling sad or Tearful,0.5882352941176471
16,MICE (logistic),Irritable towards baby & partner,0.52
16,MICE (logistic),Trouble sleeping at night,0.32
16,MICE (logistic),Problems concentrating or making decision,0.43478260869565216
16,MICE (logistic),Overeating or loss of appetite,0.8214285714285714
16,MICE (logistic),Feeling anxious,0.6842105263157895
16,MICE (logistic),Feeling of guilt,0.5454545454545454
16,MICE (logistic),Problems of bonding with baby,0.56
16,MICE (random forest),Age,0.15
16,MICE (random forest),Feeling sad or Tearful,0.47058823529411764
16,MICE (random forest),Irritable towards baby & partner,0.52
16,MICE (random forest),Trouble sleeping at night,0.52
16,MICE (random forest),Problems concentrating or making decision,0.6086956521739131
16,MICE (random forest),Overeating or loss of appetite,0.8928571428571429
16,MICE (random forest),Feeling anxious,0.7368421052631579
16,MICE (random forest),Feeling of guilt,0.5
16,MICE (random forest),Problems of bonding with baby,0.4
16,Iterative MCA (2 dims),Age,0.15
16,Iterative MCA (2 dims),Feeling sad or Tearful,0.47058823529411764
16,Iterative MCA (2 dims),Irritable towards baby & partner,0.28
16,Iterative MCA (2 dims),Trouble sleeping at night,0.28
16,Iterative MCA (2 dims),Problems concentrating or making decision,0.4782608695652174
16,Iterative MCA (2 dims),Overeating or loss of appetite,0.7857142857142857
16,Iterative MCA (2 dims),Feeling anxious,0.5263157894736842
16,Iterative MCA (2 dims),Feeling of guilt,0.5
16,Iterative MCA (2 dims),Problems of bonding with baby,0.4
17,Marginal sampling,Age,0.17391304347826086
17,Marginal sampling,Feeling sad or Tearful,0.19047619047619047
17,Marginal sampling,Irritable towards baby & partner,0.34782608695652173
17,Marginal sampling,Trouble sleeping at night,0.39285714285714285
17,Marginal sampling,Problems concentrating or making decision,0.35714285714285715
17,Marginal sampling,Overeating or loss of appetite,0.6086956521739131
17,Marginal sampling,Feeling anxious,0.5862068965517241
17,Marginal sampling,Feeling of guilt,0.34782608695652173
17,Marginal sampling,Problems of bonding with baby,0.47368421052631576
17,Mode,Age,0.2608695652173913
17,Mode,Feeling sad or Tearful,0.5238095238095238
17,Mode,Irritable towards baby & partner,0.43478260869565216
17,Mode,Trouble sleeping at night,0.39285714285714285
17,Mode,Problems concentrating or making decision,0.39285714285714285
17,Mode,Overeating or loss of appetite,0.8695652173913043
17,Mode,Feeling anxious,0.7241379310344828
17,Mode,Feeling of guilt,0.391304347826087
17,Mode,Problems of bonding with baby,0.21052631578947367
17,"KNN (Hamming, k=7)",Age,0.21739130434782608
17,"KNN (Hamming, k=7)",Feeling sad or Tearful,0.38095238095238093
17,"KNN (Hamming, k=7)",Irritable towards baby & partner,0.4782608695652174
17,"KNN (Hamming, k=7)",Trouble sleeping at night,0.5
17,"KNN (Hamming, k=7)",Problems concentrating or making decision,0.42857142857142855
17,"KNN (Hamming, k=7)",Overeating or loss of appetite,0.8695652173913043
17,"KNN (Hamming, k=7)",Feeling anxious,0.7241379310344828
17,"KNN (Hamming, k=7)",Feeling of guilt,0.6521739130434783
17,"KNN (Hamming, k=7)",Problems of bonding with baby,0.3157894736842105
17,MICE (logistic),Age,0.30434782608695654
17,MICE (logistic),Feeling sad or Tearful,0.23809523809523808
17,MICE (logistic),Irritable towards baby & partner,0.43478260869565216
17,MICE (logistic),Trouble sleeping at night,0.35714285714285715
17,MICE (logistic),Problems concentrating or making decision,0.4642857142857143
17,MICE (logistic),Overeating or loss of appetite,0.782608695652174
17,MICE (logistic),Feeling anxious,0.7586206896551724
17,MICE (logistic),Feeling of guilt,0.43478260869565216
17,MICE (logistic),Problems of bonding with baby,0.3684210526315789
17,MICE (random forest),Age,0.17391304347826086
17,MICE (random forest),Feeling sad or Tearful,0.3333333333333333
17,MICE (random forest),Irritable towards baby & partner,0.4782608695652174
17,MICE (random forest),Trouble sleeping at night,0.5
17,MICE (random forest),Problems concentrating or making decision,0.5357142857142857
17,MICE (random forest),Overeating or loss of appetite,0.8695652173913043
17,MICE (random forest),Feeling anxious,0.7241379310344828
17,MICE (random forest),Feeling of guilt,0.4782608695652174
17,MICE (random forest),Problems of bonding with baby,0.3684210526315789
17,Iterative MCA (2 dims),Age,0.17391304347826086
