rep,Method,Item,Accuracy
1,MICE (random forest),Overeating or loss of appetite,0.8
1,MICE (random forest),Feeling anxious,0.7619047619047619
1,MICE (random forest),Feeling of guilt,0.5454545454545454
1,MICE (random forest),Problems of bonding with baby,0.3181818181818182
1,Iterative MCA (2 dims),Age,0.22727272727272727
1,Iterative MCA (2 dims),Feeling sad or Tearful,0.2857142857142857
1,Iterative MCA (2 dims),Irritable towards baby & partner,0.3333333333333333
1,Iterative MCA (2 dims),Trouble sleeping at night,0.6842105263157895
1,Iterative MCA (2 dims),Problems concentrating or making decision,0.4090909090909091
1,Iterative MCA (2 dims),Overeating or loss of appetite,0.75
1,Iterative MCA (2 dims),Feeling anxious,0.5714285714285714
1,Iterative MCA (2 dims),Feeling of guilt,0.5454545454545454
1,Iterative MCA (2 dims),Problems of bonding with baby,0.36363636363636365
2,Marginal sampling,Age,0.23076923076923078
2,Marginal sampling,Feeling sad or Tearful,0.36
2,Marginal sampling,Irritable towards baby & partner,0.3684210526315789
2,Marginal sampling,Trouble sleeping at night,0.35
2,Marginal sampling,Problems concentrating or making decision,0.17857142857142858
2,Marginal sampling,Overeating or loss of appetite,0.5
2,Marginal sampling,Feeling anxious,0.625
2,Marginal sampling,Feeling of guilt,0.47619047619047616
2,Marginal sampling,Problems of bonding with baby,0.25
2,Mode,Age,0.19230769230769232
2,Mode,Feeling sad or Tearful,0.44
2,Mode,Irritable towards baby & partner,0.42105263157894735
2,Mode,Trouble sleeping at night,0.4
2,Mode,Problems concentrating or making decision,0.32142857142857145
2,Mode,Overeating or loss of appetite,0.8
2,Mode,Feeling anxious,0.71875
2,Mode,Feeling of guilt,0.42857142857142855
2,Mode,Problems of bonding with baby,0.375
2,"KNN (Hamming, k=7)",Age,0.23076923076923078
2,"KNN (Hamming, k=7)",Feeling sad or Tearful,0.6
2,"KNN (Hamming, k=7)",Irritable towards baby & partner,0.42105263157894735
2,"KNN (Hamming, k=7)",Trouble sleeping at night,0.5
2,"KNN (Hamming, k=7)",Problems concentrating or making decision,0.2857142857142857
2,"KNN (Hamming, k=7)",Overeating or loss of appetite,0.7
2,"KNN (Hamming, k=7)",Feeling anxious,0.8125
2,"KNN (Hamming, k=7)",Feeling of guilt,0.38095238095238093
2,"KNN (Hamming, k=7)",Problems of bonding with baby,0.40625
2,MICE (logistic),Age,0.23076923076923078
2,MICE (logistic),Feeling sad or Tearful,0.56
2,MICE (logistic),Irritable towards baby & partner,0.42105263157894735
2,MICE (logistic),Trouble sleeping at night,0.4
2,MICE (logistic),Problems concentrating or making decision,0.42857142857142855
2,MICE (logistic),Overeating or loss of appetite,0.8
2,MICE (logistic),Feeling anxious,0.65625
2,MICE (logistic),Feeling of guilt,0.38095238095238093
2,MICE (logistic),Problems of bonding with baby,0.34375
2,MICE (random forest),Age,0.2692307692307692
2,MICE (random forest),Feeling sad or Tearful,0.48
2,MICE (random forest),Irritable towards baby & partner,0.3684210526315789
2,MICE (random forest),Trouble sleeping at night,0.65
2,MICE (random forest),Problems concentrating or making decision,0.5
2,MICE (random forest),Overeating or loss of appetite,0.65
2,MICE (random forest),Feeling anxious,0.75
2,MICE (random forest),Feeling of guilt,0.38095238095238093
2,MICE (random forest),Problems of bonding with baby,0.40625
2,Iterative MCA (2 dims),Age,0.19230769230769232
2,Iterative MCA (2 dims),Feeling sad or Tearful,0.48
2,Iterative MCA (2 dims),Irritable towards baby & partner,0.3157894736842105
2,Iterative MCA (2 dims),Trouble sleeping at night,0.5
2,Iterative MCA (2 dims),Problems concentrating or making decision,0.5
2,Iterative MCA (2 dims),Overeating or loss of appetite,0.8
2,Iterative MCA (2 dims),Feeling anxious,0.71875
2,Iterative MCA (2 dims),Feeling of guilt,0.23809523809523808
2,Iterative MCA (2 dims),Problems of bonding with baby,0.5
3,Marginal sampling,Age,0.2413793103448276
3,Marginal sampling,Feeling sad or Tearful,0.35714285714285715
3,Marginal sampling,Irritable towards baby & partner,0.32
3,Marginal sampling,Trouble sleeping at night,0.20833333333333334
3,Marginal sampling,Problems concentrating or making decision,0.3076923076923077
3,Marginal sampling,Overeating or loss of appetite,0.5294117647058824
3,Marginal sampling,Feeling anxious,0.4230769230769231
3,Marginal sampling,Feeling of guilt,0.28125
3,Marginal sampling,Problems of bonding with baby,0.4782608695652174
3,Mode,Age,0.27586206896551724
3,Mode,Feeling sad or Tearful,0.4642857142857143
3,Mode,Irritable towards baby & partner,0.52
3,Mode,Trouble sleeping at night,0.25
3,Mode,Problems concentrating or making decision,0.2692307692307692
3,Mode,Overeating or loss of appetite,0.6764705882352942
3,Mode,Feeling anxious,0.5
3,Mode,Feeling of guilt,0.46875
3,Mode,Problems of bonding with baby,0.17391304347826086
3,"KNN (Hamming, k=7)",Age,0.1724137931034483
3,"KNN (Hamming, k=7)",Feeling sad or Tearful,0.6071428571428571
3,"KNN (Hamming, k=7)",Irritable towards baby & partner,0.4
3,"KNN (Hamming, k=7)",Trouble sleeping at night,0.5
3,"KNN (Hamming, k=7)",Problems concentrating or making decision,0.6153846153846154
3,"KNN (Hamming, k=7)",Overeating or loss of appetite,0.6470588235294118
3,"KNN (Hamming, k=7)",Feeling anxious,0.6153846153846154
3,"KNN (Hamming, k=7)",Feeling of guilt,0.46875
3,"KNN (Hamming, k=7)",Problems of bonding with baby,0.4782608695652174
3,MICE (logistic),Age,0.27586206896551724
3,MICE (logistic),Feeling sad or Tearful,0.6785714285714286
3,MICE (logistic),Irritable towards baby & partner,0.48
3,MICE (logistic),Trouble sleeping at night,0.375
3,MICE (logistic),Problems concentrating or making decision,0.38461538461538464
3,MICE (logistic),Overeating or loss of appetite,0.6470588235294118
