Item,Short,df,GVIF,GVIF^(1/2df)
Age,Age,4,1.240036133289229,1.0272574332965858
Feeling sad or Tearful,Sad/tearful,2,2.2486438344994317,1.2245602789142924
Irritable towards baby & partner,Irritable,2,1.7795398361103856,1.154986554708258
Trouble sleeping at night,Sleep trouble,2,2.28827106203109,1.229920009591252
Problems concentrating or making decision,Concentration,2,2.037317717364549,1.1947160290678185
Overeating or loss of appetite,Appetite,1,1.3577440594202732,1.165222750988099
Feeling anxious,Anxious,1,1.7421531813779698,1.3199065047865965
Feeling of guilt,Guilt,2,2.004549864658528,1.189882880208622
Problems of bonding with baby,Bonding,2,1.9579971741428388,1.1829135734391458
