Model,Accuracy,Accuracy (SD),Precision,Precision (SD),Recall,Recall (SD),F1,F1 (SD),ROC-AUC,ROC-AUC (SD),Specificity,Specificity (SD),MCC,MCC (SD),TN,FP,FN,TP
SVM (RBF),0.724272770624702,0.02418466836681454,0.9708439897698209,0.041143892689903254,0.3068248488304589,0.06014341234351693,0.4639991729386968,0.07280612002463248,0.8912809689145587,0.013021272300802845,0.9943462191589252,0.0077418388078981035,0.4447652438411299,0.06171090760385246,705,4,318,141
Random Forest,0.7842448919702139,0.051534787261608726,0.747522030843389,0.07614846178772285,0.6858249978165827,0.07835170236985436,0.7137459972322404,0.06641919848299145,0.8901641507638864,0.028071771460966906,0.8476775546898411,0.055118740530799806,0.5440291447227789,0.10901314673720779,601,108,144,315
ANN (MLP),0.7269615934851986,0.04754887209409083,0.6542602573714544,0.07099132600566992,0.6735580455075546,0.059096190812217585,0.6605306469848123,0.04440015867274469,0.8079256186770809,0.04473306976687975,0.7617320946958346,0.0852001366039006,0.4360609563940677,0.08451947201546194,540,169,150,309
Logistic Regression,0.7293826345328492,0.0667557744692672,0.6687730335730651,0.11061620208113887,0.652762408232254,0.15083231209961181,0.6508455678227998,0.09616621247728085,0.7778062678541647,0.05323770408772819,0.7782938767355909,0.1192627544931693,0.44076496343310845,0.13951419895425604,552,157,159,300
